Pop Size,Mut Rate,Generation,Avg Fitness,Max Fitness,Avg Score,Avg Steps
50,0.01,35,22476.11,59861.0,0.6933333333333334,607.0533333333334
50,0.01,36,18158.23,49904.0,0.5466666666666666,631.86
50,0.01,37,20182.69,51985.0,0.6,766.1466666666666
50,0.01,38,20349.42,59876.0,0.5933333333333334,882.8066666666667
50,0.01,39,22333.7,59795.0,0.6733333333333333,751.8000000000001
50,0.01,40,19479.9,59886.0,0.5866666666666667,671.2333333333333
50,0.01,41,18005.47,49833.0,0.5,1028.2733333333333
50,0.01,42,20398.29,49865.0,0.5866666666666667,962.5799999999999
50,0.01,43,19227.61,49861.5,0.5266666666666667,1159.92
50,0.01,44,22144.85,51932.5,0.6266666666666666,1135.1000000000001
50,0.01,45,20169.34,51930.0,0.5666666666666667,1080.68
50,0.01,46,19097.22,71932.0,0.5266666666666667,1120.1733333333334
50,0.01,47,19645.96,61937.0,0.5533333333333333,1040.42
50,0.01,48,20427.75,51952.0,0.5599999999999999,1224.7333333333333
50,0.01,49,21364.48,51966.0,0.6133333333333334,1013.8266666666667
50,0.01,50,20922.02,44019.5,0.5666666666666667,1317.3066666666666
50,0.01,51,19737.03,44006.5,0.5466666666666666,1133.46
50,0.01,52,18715.36,59891.5,0.5266666666666667,1001.1533333333333
50,0.01,53,20430.74,69918.5,0.5933333333333334,909.7133333333333
50,0.01,54,20948.59,44053.0,0.58,1199.6466666666668
50,0.01,55,22192.4,59825.0,0.62,1213.3333333333333
50,0.01,56,19810.22,51915.0,0.5533333333333333,1092.3733333333332
50,0.01,57,19320.63,59846.0,0.5133333333333333,1316.2266666666667
50,0.01,58,24297.01,59862.5,0.7000000000000001,1118.8866666666665
50,0.01,59,20823.26,51983.0,0.58,1159.32
50,0.01,60,21184.0,61991.5,0.5933333333333334,1146.5333333333333
50,0.01,61,18550.71,51894.5,0.49333333333333335,1263.72
50,0.01,62,24597.78,69935.0,0.7000000000000001,1214.96
50,0.01,63,18481.14,49886.5,0.48666666666666664,1304.5133333333333
50,0.01,64,25306.96,69935.5,0.7400000000000001,1058.9866666666667
50,0.01,65,17582.15,51967.5,0.47333333333333333,1147.8
50,0.01,66,19894.37,49937.5,0.5599999999999999,1055.74
50,0.01,67,23700.4,59903.5,0.7200000000000001,740.5333333333333
50,0.01,68,18192.18,41996.5,0.5266666666666667,834.3266666666667
50,0.01,69,22993.22,52018.5,0.68,896.94
50,0.01,70,22087.0,51980.0,0.64,991.1
50,0.01,71,18793.51,61940.0,0.5066666666666667,1212.7866666666666
50,0.01,72,20628.21,44022.0,0.5733333333333334,1161.4533333333334
50,0.01,73,20266.63,51940.5,0.5666666666666667,1110.46
50,0.01,74,18692.03,43993.0,0.52,1055.0266666666666
50,0.01,75,23299.21,51947.5,0.68,992.82
50,0.01,76,22096.79,51896.5,0.6466666666666666,929.68
50,0.01,77,19766.37,59865.5,0.5666666666666667,952.9066666666666
50,0.01,78,19288.4,51965.0,0.5533333333333333,927.1999999999999
50,0.01,79,21824.84,69904.5,0.6133333333333334,1160.9466666666667
50,0.01,80,18615.99,43979.0,0.52,1031.2466666666667
50,0.01,81,22995.39,59894.5,0.6533333333333333,1151.2466666666667
50,0.01,82,26789.91,59883.0,0.8133333333333334,833.3866666666667
50,0.01,83,21580.23,51981.0,0.62,1019.96
50,0.01,84,22339.15,52002.5,0.64,1070.1666666666667
50,0.01,85,24445.55,51980.5,0.7200000000000001,977.3666666666667
50,0.01,86,17599.66,51957.0,0.45999999999999996,1279.0533333333333
50,0.01,87,21282.03,49869.0,0.6266666666666666,862.5933333333334
50,0.01,88,20875.8,51947.5,0.5866666666666667,1113.3999999999999
50,0.01,89,18565.87,44030.5,0.5066666666666667,1142.5066666666667
50,0.01,90,21017.44,59828.0,0.6066666666666667,970.5133333333333
50,0.01,91,22354.8,59876.5,0.6333333333333333,1139.3
50,0.01,92,21203.44,52194.5,0.6133333333333334,964.7800000000001
50,0.01,93,23730.58,49873.0,0.7000000000000001,941.1266666666667
50,0.01,94,20668.8,51931.5,0.6066666666666667,858.8333333333334
50,0.01,95,23453.47,51965.5,0.6866666666666666,980.14
